titulo,precio,ubicacion,dorm,ban,sup
b'CARDINALES NUEV',U$S 135.000, General Paz ,2,1,sin datos
b'GENERAL PAZ-FRE',U$S 70.000, General Paz ,1,1,sin datos
b'ALTA CORDOBA- F',U$S 46.500, Alta Córdoba ,1,1,51
b'Vendo Departame',U$S 45.000, Nueva Córdoba ,1,1,sin datos
b'B\xc2\xb0 GRAL PAZ- D',U$S 110.000, General Paz ,3,2,sin datos
b'Amplio depto te',U$S 82.000, Nueva Córdoba ,1,1,sin datos
b'Excelente oport',U$S 27.000, Alberdi ,1,1,40
b'Departamento en',U$S 85.500, Manantiales ,1,1,sin datos
b'Livette Chateau',U$S 188.000, Quebrada de las Rosas ,2,1,111
b'ULTIMA UNIDAD!!',U$S 58.500, General Paz ,1,1,51
b'A METROS DE ESQ',U$S 55.000, General Paz ,1,1,42
b'NUEVA C\xc3\x93RDOBA ',U$S 75.000, Nueva Córdoba ,1,1,48
b'BETANIA PLAZA 1',U$S 85.000, Nueva Córdoba ,1,1,45
b'Un dormitorio l',U$S 57.000, General Paz ,1,1,41
b'1 DORMITORIO CO',U$S 47.000, Nueva Córdoba ,1,1,44
b'G\xc3\xbcemes Sim\xc3\xb3n ',U$S 60.000, Guemes ,1,1,44
b'General Paz Lim',U$S 55.000, General Paz ,1,1,42
b'Mai Tei Condomi',U$S 119.000,sin ubicacion,1,1,76
b'General Paz Bal',U$S 125.000, General Paz ,1,1,70
b'GRAL PAZ- Balco',U$S 80.000, General Paz ,1,1,sin datos
b'MONOAMBIENTE EN',U$S 24.000, Centro ,1,1,sin datos
b'VENTA DPTO B\xc2\xb0 ',U$S 83.000, Centro ,2,2,sin datos
b'B\xc2\xb0 NVA CBA. 1 ',U$S 79.000, Nueva Córdoba ,1,1,sin datos
b'VENTA NVA CBA. ',U$S 67.000, Nueva Córdoba ,1,1,sin datos
b'VENDO DPTO B\xc2\xb0 ',U$S 42.000, Centro ,2,1,sin datos
b'VENDO B\xc2\xb0 GUEME',U$S 50.000, Nueva Córdoba ,2,1,sin datos
b'VENDO DPTO NVA ',U$S 95.000, Nueva Córdoba ,2,1,sin datos
b'VENTA DPTO 2 DO',U$S 60.000, Nueva Córdoba ,2,2,sin datos
b'VENDO DEPTO 1 D',U$S 72.000, Nueva Córdoba ,1,1,42
b'ENORME dpto en ',U$S 85.000, Alberdi ,2,3,110
b'Gran Oportunida',U$S 50.000, Juniors ,2,1,50
b'B Quebrada de L',U$S 43.000, Quebrada de las Rosas ,2,1,sin datos
b'OPORTUNIDAD- DE',U$S 35.000, Centro ,1,1,45
b'CASONAS DEL NOR',U$S 240.000, Cerro de las Rosas ,3,3,150
b'DUPLEX GREENVIL',U$S 149.000, Claros del Bosque ,2,2,sin datos
b'Venta- Duplex H',U$S 85.000, Manantiales ,2,2,sin datos
b'VENTA DEPARTAME',U$S 49.000, Cofico ,1,1,45
b'VENDO NVA CBA B',U$S 86.000, Nueva Córdoba ,1,1,54
b'**SE VENDE Nuev',U$S 63.000, Nueva Córdoba ,1,1,45
b'Semipiso en Ven',U$S 150.000, Nueva Córdoba ,2,3,sin datos
b'Monoambiente co',U$S 48.000, Nueva Córdoba ,sin datos,1,sin datos
b'Entrega inmedia',U$S 69.000, Alta Córdoba ,1,2,85
b'Amplio balc\xc3\xb3n ',U$S 75.200, Alta Córdoba ,2,1,72
b'Full Amenities ',U$S 123.800, Chateau Carreras ,2,2,74
b'Zona Plaza Alta',U$S 44.650, Cofico ,1,sin datos,40
b'Excelente ubica',U$S 42.119, Cofico ,1,1,42
b'Plaza Alta C\xc3\xb3r',U$S 50.050, Alta Córdoba ,1,1,42
b'OPORTUNIDAD DE ',consultar, Chateau Carreras ,2,3,113
b'SUENA | VENTA D',U$S 230.000, Villa Warcalde ,3,3,164
b'SUENA | VENTA D',U$S 320.000,sin ubicacion,3,3,217
b'\xe2\x98\x85 Gran oportu',U$S 36.000, Pueyrredon ,1,1,45
b'B\xc2\xb0 General Paz',U$S 57.000, General Paz ,1,1,65
b'\xe2\x98\x85 A estrenar-',U$S 58.500, General Paz ,1,1,65
b'B\xc2\xb0 Alta C\xc3\xb3rdo',U$S 65.000, Alta Córdoba ,2,2,65
b'B\xc2\xb0 Alta C\xc3\xb3rdo',U$S 43.000, Alta Córdoba ,1,1,45
b'DEPTO 1 DORM- 2',U$S 69.000, Nueva Córdoba ,1,1,sin datos
b'GENERAL PAZ- De',U$S 115.000, General Paz ,2,1,sin datos
b'D\xc3\x9aPLEX 3 DORM-',U$S 198.000, Cañuelas ,3,3,sin datos
b'UNICO! 2 DOR- 3',U$S 105.000, Alberdi ,2,3,122
b'DPTO VENTA 2 DO',U$S 38.000, Alberdi ,2,1,sin datos
b'DEPTO. EN VENTA',U$S 53.000, Alberdi ,1,1,sin datos
b'Nueva C\xc3\xb3rdoba ',U$S 290.000, Nueva Córdoba ,2,2,105
"b'Gral Paz,  2 do'",U$S 72.000, General Paz ,2,2,sin datos
b'Departamento en',U$S 53.000, Cofico ,1,1,sin datos
b'Cofico 1 dor en',U$S 55.000, Cofico ,1,1,sin datos
b'Depto 1 dormito',U$S 38.000, Centro ,1,1,sin datos
b'Vdo importante ',U$S 205.000, Nueva Córdoba ,2,2,115
b'\xe2\x9c\xad Cardinales ',U$S 95.000, General Paz ,1,1,50
b'ALTA CBA URQUIZ',U$S 50.000, Alta Córdoba ,1,1,44
b'VENDO DPTO AMPL',U$S 105.000, Nueva Córdoba ,2,1,65
b'VENDO- DPTO 1 D',U$S 40.000, Nueva Córdoba ,1,1,45
b'Gral Paz- 25 de',U$S 40.000, General Paz ,1,1,50
b'Departamento Ve',U$S 75.000, Nueva Córdoba ,1,1,45
b'OPORTUNIDAD DEP',U$S 20.000,sin ubicacion,2,1,55
b'NUEVA CORDOBA-D',U$S 83.000, Nueva Córdoba ,1,1,sin datos
b'CASONAS DEL SUR',U$S 230.000,sin ubicacion,2,2,sin datos
b'SALVATIERRA VEN',U$S 48.000, Centro ,1,1,sin datos
b'VENTA DPTO ESTR',U$S 42.500, Alta Córdoba ,1,sin datos,42
b'Alberdi s / Dua',U$S 50.000, Alberdi ,1,1,sin datos
b'Oportunidad ZON',U$S 60.000,sin ubicacion,3,2,sin datos
